Location,Area,Bedrooms,Bathrooms,Age,Floor,Parking,Furnished,AmenitiesScore,Price
Hitech City,1154,2,2,2,21,1,Semi-Furnished,7,10946040
Ameerpet,1182,3,4,26,8,1,Unfurnished,5,6073829
Kompally,1559,3,4,23,15,1,Furnished,10,9511742
Uppal,1423,3,3,2,10,0,Furnished,7,7319864
Narsingi,1072,2,3,21,10,1,Unfurnished,3,7616657
Manikonda,532,1,2,11,12,1,Unfurnished,10,3333867
Kompally,1269,2,3,7,11,1,Unfurnished,1,6301800
Hitech City,2177,4,5,28,14,2,Unfurnished,10,18065483
Kukatpally,713,2,2,3,14,1,Unfurnished,10,5353369
Kondapur,2108,4,4,3,1,1,Semi-Furnished,5,14400734
Hitech City,1525,3,3,21,3,2,Furnished,4,14304993
Secunderabad,1252,2,2,24,19,1,Furnished,2,8211726
Kondapur,1380,2,3,28,11,0,Furnished,10,9007602
Kukatpally,1348,2,2,20,18,2,Furnished,4,9302494
Begumpet,1878,3,3,13,6,2,Semi-Furnished,1,13266859
Ameerpet,1782,3,4,1,9,2,Unfurnished,10,10178980
Ameerpet,2659,5,6,9,16,2,Furnished,2,16586873
Shamshabad,1245,2,3,7,0,1,Semi-Furnished,10,5659143
Kompally,1314,2,2,10,8,2,Unfurnished,9,7781839
Jubilee Hills,1665,3,3,24,1,2,Semi-Furnished,2,14189494
Banjara Hills,2108,3,4,24,13,1,Furnished,5,18416856
Shamshabad,1316,3,3,25,11,1,Furnished,4,6596714
Uppal,1881,4,5,12,3,1,Semi-Furnished,7,9355587
LB Nagar,1337,2,2,13,6,0,Semi-Furnished,1,6351842
LB Nagar,2240,4,4,16,8,1,Semi-Furnished,5,10008468
LB Nagar,1997,4,5,10,0,0,Semi-Furnished,3,8556943
Uppal,671,1,1,5,24,1,Semi-Furnished,5,4123501
Miyapur,1093,2,2,28,21,2,Furnished,3,6539654
Banjara Hills,1075,2,2,19,5,1,Semi-Furnished,1,8205725
Gachibowli,1687,3,4,19,8,2,Semi-Furnished,3,14050875
Madhapur,1324,2,3,27,19,1,Furnished,3,12244713
Miyapur,1089,2,3,10,12,1,Unfurnished,3,5912502
Manikonda,790,2,2,25,9,2,Unfurnished,3,4430532
Madhapur,1267,2,2,7,7,1,Semi-Furnished,8,11620608
Kukatpally,1769,3,3,13,11,1,Furnished,5,11992637
Manikonda,894,2,3,21,3,1,Furnished,10,5974408
Ameerpet,1519,3,3,10,14,1,Furnished,3,9710355
Banjara Hills,1237,3,3,28,12,1,Furnished,3,10606535
Madhapur,2048,3,4,5,22,1,Semi-Furnished,1,17400827
Kokapet,1136,2,2,17,5,2,Unfurnished,5,7052992
Jubilee Hills,351,1,2,6,17,2,Semi-Furnished,8,4092901
Financial District,1276,2,2,24,17,1,Furnished,3,12455189
Kompally,2297,4,4,13,15,1,Furnished,6,15343718
Ameerpet,1921,4,5,6,0,1,Furnished,10,10998890
LB Nagar,1621,3,4,17,4,0,Furnished,10,8360755
Kondapur,2368,4,5,11,22,1,Semi-Furnished,5,16448322
Kompally,1614,3,3,5,4,2,Furnished,10,9175474
Ameerpet,2428,4,4,21,1,2,Semi-Furnished,9,13279468
Manikonda,2153,4,4,16,8,0,Furnished,5,12365259
Kondapur,2339,4,4,14,6,1,Unfurnished,3,14945153
Begumpet,1074,2,2,12,18,2,Unfurnished,10,7596583
Shamshabad,1659,3,3,15,12,2,Unfurnished,5,7359191
Kukatpally,1135,2,2,4,11,0,Furnished,8,7852762
Narsingi,772,2,2,24,22,2,Semi-Furnished,9,5849678
Kokapet,2394,4,4,24,18,1,Furnished,9,15679123
Miyapur,1755,3,3,6,12,1,Unfurnished,6,10120466
Kokapet,1919,4,5,11,14,1,Semi-Furnished,7,16069461
Ameerpet,2222,4,4,12,11,1,Semi-Furnished,7,12849452
Financial District,1442,2,3,18,19,2,Unfurnished,10,11473426
Gachibowli,657,2,2,22,21,0,Semi-Furnished,3,6265507
LB Nagar,983,2,2,22,10,1,Semi-Furnished,2,4068760
Kompally,1519,2,2,17,23,1,Unfurnished,10,9404982
Kukatpally,2375,4,4,12,24,2,Semi-Furnished,1,15683605
Shamshabad,1169,2,2,24,17,1,Furnished,6,6353512
Madhapur,371,1,1,17,16,1,Unfurnished,3,3249617
Banjara Hills,1145,2,2,24,15,1,Furnished,3,10853650
Manikonda,911,2,2,15,11,2,Semi-Furnished,9,5477719
LB Nagar,1504,3,3,6,9,2,Semi-Furnished,2,7316993
Shamshabad,1849,3,4,12,8,1,Unfurnished,3,8106335
Shamshabad,1685,3,4,28,12,0,Semi-Furnished,9,7558104
Miyapur,1287,3,3,27,23,0,Semi-Furnished,6,6852623
Kukatpally,2714,5,6,18,4,2,Semi-Furnished,2,19411308
Shamshabad,1888,3,3,6,9,1,Semi-Furnished,3,9164611
Kokapet,851,2,2,27,18,1,Furnished,8,6936259
Secunderabad,1348,3,4,24,15,1,Unfurnished,8,8786548
Kokapet,1024,2,3,12,6,2,Furnished,9,8256681
Madhapur,1423,3,4,16,13,1,Semi-Furnished,3,13690090
Jubilee Hills,1097,2,2,15,20,1,Unfurnished,8,9695746
Financial District,2405,4,4,23,21,1,Furnished,6,22430183
LB Nagar,1338,2,3,11,22,1,Furnished,5,6598615
Banjara Hills,1597,2,3,2,15,2,Furnished,4,14971160
Kompally,1343,2,3,16,23,1,Semi-Furnished,6,8351848
Uppal,1281,2,2,22,7,1,Semi-Furnished,9,5635346
Jubilee Hills,2284,4,4,29,14,1,Semi-Furnished,2,19764548
Kokapet,2298,3,4,5,13,2,Unfurnished,1,18195107
Kondapur,1322,3,3,20,21,1,Furnished,10,8805858
Narsingi,1343,2,2,16,6,2,Unfurnished,3,9617963
Secunderabad,1789,3,3,21,21,2,Furnished,1,14925351
Kokapet,1442,3,3,28,17,0,Semi-Furnished,1,10411496
Begumpet,1078,2,2,17,21,1,Semi-Furnished,7,7570115
Begumpet,2181,4,5,1,3,2,Semi-Furnished,10,15954721
Kukatpally,2245,4,4,19,17,0,Semi-Furnished,9,15694067
Kompally,1544,3,3,23,5,2,Furnished,1,9464610
Kompally,920,2,2,10,19,2,Semi-Furnished,10,5212071
Jubilee Hills,2425,4,4,14,13,2,Semi-Furnished,7,19977242
Financial District,1081,2,2,20,20,1,Semi-Furnished,6,8906249
Miyapur,1101,2,2,16,24,2,Furnished,5,7383749
Kukatpally,2077,3,4,1,9,1,Semi-Furnished,6,13710635
Secunderabad,1478,3,3,17,5,1,Unfurnished,10,10402606
LB Nagar,2673,5,6,12,22,1,Furnished,2,12527987
Banjara Hills,1183,3,4,2,14,1,Semi-Furnished,1,9475663
Secunderabad,1757,3,4,10,6,2,Semi-Furnished,4,13234644
Madhapur,1897,3,3,29,16,1,Furnished,10,17160345
Financial District,1452,3,4,26,16,1,Semi-Furnished,10,14074863
Jubilee Hills,1386,3,3,27,21,0,Semi-Furnished,10,11976998
Kondapur,1692,3,3,13,23,1,Unfurnished,9,10971364
Jubilee Hills,1542,3,3,16,20,1,Semi-Furnished,10,14833114
Ameerpet,1015,2,2,16,17,1,Semi-Furnished,2,5810097
Narsingi,1726,3,4,19,23,1,Furnished,9,12481369
LB Nagar,1248,2,2,19,24,1,Unfurnished,1,5165248
Kokapet,2221,4,4,11,0,1,Semi-Furnished,3,16258020
Ameerpet,1867,4,5,3,15,0,Semi-Furnished,1,11706666
Narsingi,818,1,1,6,5,1,Unfurnished,9,5202284
Uppal,1851,3,3,12,19,1,Furnished,10,8503534
Ameerpet,2102,3,4,29,1,1,Semi-Furnished,4,11892993
Miyapur,700,1,2,29,15,1,Unfurnished,3,3329576
Dilsukhnagar,1305,3,4,11,13,0,Furnished,6,7684301
Kokapet,770,2,3,6,15,1,Unfurnished,5,6340284
Ameerpet,868,2,2,2,4,1,Semi-Furnished,3,5671462
Madhapur,1226,2,2,7,9,1,Semi-Furnished,7,9854826
Uppal,1664,3,3,9,16,1,Semi-Furnished,3,7365691
Banjara Hills,1570,3,4,21,24,2,Semi-Furnished,2,13118358
Dilsukhnagar,2313,4,4,24,11,1,Semi-Furnished,5,12113428
Hitech City,1484,2,3,21,17,1,Semi-Furnished,2,12311775
Kukatpally,2401,4,4,5,21,2,Semi-Furnished,10,16359929
Madhapur,1477,3,4,7,20,1,Semi-Furnished,7,13588152
Banjara Hills,1506,3,3,13,24,2,Unfurnished,10,13174499
Ameerpet,1819,4,4,6,7,2,Unfurnished,1,9794831
Kondapur,886,1,1,13,23,1,Furnished,5,7345732
Begumpet,1687,3,4,0,14,1,Semi-Furnished,10,13290657
Financial District,1520,3,3,15,0,0,Semi-Furnished,9,12767091
Miyapur,887,2,2,7,11,2,Semi-Furnished,2,5277912
LB Nagar,2117,4,5,22,7,1,Furnished,5,10383131
LB Nagar,1459,3,4,17,14,1,Furnished,8,7350547
Gachibowli,1067,2,2,10,11,1,Unfurnished,5,10387575
Manikonda,1020,2,2,26,15,1,Furnished,8,6244831
Manikonda,1688,4,4,19,21,1,Unfurnished,2,9694176
Uppal,1373,2,2,10,9,1,Semi-Furnished,7,6378975
Secunderabad,2319,4,5,5,14,0,Semi-Furnished,3,15798804
Begumpet,1370,2,3,24,22,1,Furnished,3,10242092
Secunderabad,2429,4,4,3,8,1,Unfurnished,10,16334354
Manikonda,845,2,2,25,16,1,Unfurnished,3,4571849
Uppal,2536,4,4,21,3,1,Semi-Furnished,7,11915491
Jubilee Hills,2207,4,4,14,7,1,Semi-Furnished,7,21220511
Narsingi,1726,3,3,3,15,1,Semi-Furnished,4,12656318
Gachibowli,1637,3,3,16,11,1,Semi-Furnished,10,15630471
Shamshabad,727,2,3,17,4,2,Semi-Furnished,2,3627998
Uppal,1069,2,2,6,24,1,Semi-Furnished,2,5742397
Jubilee Hills,834,2,3,4,9,1,Semi-Furnished,3,7849954
Miyapur,1355,2,3,16,8,0,Unfurnished,4,7675661
Miyapur,1729,3,3,28,10,1,Semi-Furnished,10,9854199
Madhapur,2335,4,5,15,23,2,Unfurnished,6,20678356
Kondapur,902,2,2,0,0,1,Furnished,3,6576696
Secunderabad,1538,3,4,19,19,1,Furnished,8,11168640
Manikonda,2369,4,4,16,1,2,Semi-Furnished,6,13587198
Begumpet,3121,5,5,16,4,2,Unfurnished,7,20904255
Narsingi,2184,4,4,23,13,1,Unfurnished,3,14749285
Dilsukhnagar,1135,2,3,26,18,1,Semi-Furnished,5,5630356
Narsingi,2140,4,4,6,21,1,Furnished,2,15206514
Kukatpally,2355,4,4,1,6,1,Unfurnished,9,16561320
Secunderabad,1251,2,3,19,24,2,Unfurnished,6,8701462
Manikonda,1623,3,3,0,6,1,Semi-Furnished,5,9356057
Dilsukhnagar,1086,2,2,9,14,1,Furnished,4,6858782
Kukatpally,1494,3,4,22,1,0,Semi-Furnished,10,10568319
Financial District,803,2,3,21,21,2,Unfurnished,1,7086202
Kukatpally,1151,2,3,19,5,2,Semi-Furnished,9,8063509
LB Nagar,1523,3,3,7,15,1,Unfurnished,9,7549910
Miyapur,988,2,3,16,8,2,Furnished,2,5865727
Shamshabad,880,2,3,2,2,2,Furnished,5,4869429
Shamshabad,2232,4,4,12,23,1,Semi-Furnished,6,9827128
Manikonda,1676,3,3,29,6,1,Semi-Furnished,4,8239127
Jubilee Hills,1288,3,3,5,8,1,Semi-Furnished,2,11423618
Kokapet,1568,3,3,5,22,1,Furnished,2,10330107
Shamshabad,1155,2,3,19,0,1,Semi-Furnished,7,5658385
Kokapet,1301,3,3,9,14,1,Semi-Furnished,2,9132172
Banjara Hills,1718,2,2,12,8,1,Furnished,5,13913464
Kukatpally,2118,4,5,5,4,2,Semi-Furnished,10,14851234
Manikonda,1267,2,3,18,6,2,Unfurnished,4,6520227
Ameerpet,702,1,2,5,13,0,Unfurnished,2,4148897
Banjara Hills,1817,3,3,10,5,1,Unfurnished,2,15063943
Kokapet,1153,2,2,1,5,2,Semi-Furnished,4,8664504
Narsingi,1214,2,3,25,5,1,Unfurnished,5,8481058
Kompally,1850,3,3,12,23,2,Semi-Furnished,2,10910498
Madhapur,1503,3,3,6,5,1,Furnished,5,12140741
Shamshabad,1742,3,4,8,14,1,Furnished,6,9673547
Manikonda,2314,4,4,8,7,1,Semi-Furnished,6,13221454
Uppal,2737,5,5,16,10,2,Semi-Furnished,5,12910674
Begumpet,1270,2,2,0,22,1,Unfurnished,6,9466436
Gachibowli,1863,3,3,21,4,1,Furnished,4,16939839
Banjara Hills,676,1,1,22,10,1,Semi-Furnished,10,5795336
LB Nagar,1100,2,2,15,7,1,Semi-Furnished,6,5614601
Kompally,1393,2,3,18,3,1,Semi-Furnished,10,8241923
Ameerpet,1273,2,2,26,6,2,Unfurnished,10,6204734
Banjara Hills,1090,2,3,3,12,1,Unfurnished,6,10245894
Hitech City,1371,2,2,18,21,1,Semi-Furnished,5,11839655
Hitech City,1002,2,3,8,17,1,Semi-Furnished,7,9981058
Kompally,1294,2,2,18,8,1,Semi-Furnished,2,7151056
Shamshabad,337,1,1,25,14,2,Unfurnished,9,1692101
Financial District,2077,4,5,13,22,0,Semi-Furnished,10,15385557
Begumpet,1554,3,4,17,8,1,Unfurnished,2,12179067
Uppal,1229,2,2,3,17,1,Unfurnished,7,6237707
Manikonda,2166,4,5,5,12,1,Furnished,4,13095347
Manikonda,2920,5,5,27,19,2,Semi-Furnished,5,15226607
Kondapur,2648,5,6,29,17,1,Furnished,9,17772676
Secunderabad,864,2,3,12,6,2,Furnished,9,7627083
Jubilee Hills,1141,2,2,1,17,1,Semi-Furnished,10,10084978
Dilsukhnagar,1909,3,4,29,6,1,Semi-Furnished,3,9993873
LB Nagar,471,1,2,27,16,2,Semi-Furnished,2,2325788
Ameerpet,1503,3,3,28,7,2,Furnished,3,8307747
Shamshabad,1715,3,4,25,18,1,Unfurnished,7,7675106
Secunderabad,868,2,3,7,4,1,Unfurnished,1,6040871
Kondapur,980,2,3,10,17,1,Semi-Furnished,7,8220344
Banjara Hills,1812,3,3,13,17,1,Semi-Furnished,9,16325862
Miyapur,1509,3,3,13,21,1,Semi-Furnished,3,8409644
Uppal,1490,3,3,12,20,1,Furnished,9,7362363
Kompally,1591,3,4,9,23,2,Semi-Furnished,1,8983261
Financial District,1196,2,3,10,24,1,Furnished,2,10407339
Dilsukhnagar,1394,2,2,22,13,2,Semi-Furnished,10,7691833
Secunderabad,533,1,2,1,23,0,Semi-Furnished,3,4331772
Miyapur,1202,2,2,0,20,1,Semi-Furnished,9,8073087
Madhapur,2315,4,5,5,22,2,Semi-Furnished,1,20665033
Miyapur,990,2,2,13,21,2,Unfurnished,5,6098265
Ameerpet,1176,2,2,6,13,0,Furnished,7,7171525
Jubilee Hills,1674,3,3,25,4,2,Furnished,4,14349104
Madhapur,1505,3,3,8,24,2,Semi-Furnished,5,14392037
LB Nagar,1146,2,3,29,4,1,Unfurnished,9,4694830
Kompally,1225,2,3,23,17,1,Furnished,4,7368452
Dilsukhnagar,1074,2,2,11,8,1,Unfurnished,2,6058833
LB Nagar,2631,5,6,4,21,1,Furnished,2,12859952
Narsingi,1448,3,3,28,22,2,Semi-Furnished,1,10014312
Narsingi,1740,3,3,29,18,2,Semi-Furnished,2,10388883
Uppal,1235,2,2,21,16,2,Furnished,8,6083948
Kondapur,1693,3,3,28,16,0,Semi-Furnished,10,11437301
Manikonda,1751,3,3,3,15,1,Unfurnished,8,10194970
Shamshabad,1415,3,3,19,5,1,Semi-Furnished,5,6759435
Madhapur,2464,4,4,25,21,1,Furnished,8,21611800
Begumpet,1006,2,2,23,12,1,Semi-Furnished,4,6845783
Kokapet,490,2,3,7,19,1,Semi-Furnished,5,4102939
Gachibowli,1706,3,4,29,22,1,Semi-Furnished,5,15834471
Kondapur,2160,4,4,17,5,1,Furnished,8,14580392
Jubilee Hills,987,2,3,17,13,1,Semi-Furnished,3,9121865
Ameerpet,1824,3,3,18,15,2,Unfurnished,2,10754039
LB Nagar,1917,4,4,2,4,1,Semi-Furnished,8,9112905
Financial District,730,2,2,14,22,1,Semi-Furnished,1,7071934
Uppal,1571,3,3,23,23,1,Furnished,6,7361973
Banjara Hills,2224,4,4,6,22,2,Semi-Furnished,10,20836540
Gachibowli,1802,4,5,27,23,1,Furnished,5,16096272
Miyapur,1040,2,3,7,6,1,Unfurnished,5,5916552
Jubilee Hills,1556,3,3,13,20,1,Furnished,2,15152167
Dilsukhnagar,1672,3,3,14,9,2,Unfurnished,8,10098021
Gachibowli,1516,3,4,18,8,2,Semi-Furnished,10,13191511
Shamshabad,1035,2,2,26,7,1,Semi-Furnished,3,4648045
Kompally,3137,5,6,4,8,1,Furnished,6,15357795
Madhapur,821,2,2,8,14,0,Semi-Furnished,2,8067526
Dilsukhnagar,1854,3,3,11,7,2,Semi-Furnished,1,10339315
Ameerpet,1479,3,3,8,23,1,Furnished,5,9170728
Shamshabad,1892,3,3,1,13,0,Semi-Furnished,7,9428434
Ameerpet,1683,3,3,27,7,1,Semi-Furnished,1,10754172
Banjara Hills,1464,3,4,27,16,1,Semi-Furnished,5,12162024
Kondapur,1152,1,2,24,14,0,Unfurnished,1,7645005
Secunderabad,1712,3,3,6,20,1,Semi-Furnished,8,13757140
Banjara Hills,903,2,2,12,19,1,Furnished,4,8126868
Shamshabad,1111,2,2,28,6,1,Unfurnished,7,4735788
Kukatpally,1779,4,5,12,12,1,Unfurnished,8,14304969
Dilsukhnagar,1555,2,2,26,14,1,Semi-Furnished,4,7848176
Begumpet,1796,3,3,15,10,1,Unfurnished,9,12882147
Financial District,1283,2,2,12,6,1,Semi-Furnished,8,12868468
Narsingi,1614,3,4,13,15,1,Furnished,1,10905624
Kokapet,2134,4,4,5,5,1,Furnished,10,16278528
Dilsukhnagar,1024,2,2,15,11,2,Semi-Furnished,6,5864008
Dilsukhnagar,1562,3,3,29,4,2,Furnished,10,8228025
Shamshabad,1658,3,4,27,5,1,Semi-Furnished,9,7924070
Manikonda,1806,3,4,13,6,1,Furnished,6,9857387
Miyapur,1540,3,3,25,16,0,Semi-Furnished,8,8738567
Kukatpally,1247,2,3,16,11,1,Furnished,10,8631054
Gachibowli,2046,4,4,26,16,2,Semi-Furnished,10,18267025
Ameerpet,1730,3,4,4,16,1,Semi-Furnished,5,10420573
Miyapur,1642,3,3,17,19,1,Semi-Furnished,1,8556177
Narsingi,1373,3,3,3,20,1,Semi-Furnished,9,10059183
Kukatpally,1045,2,3,11,2,2,Furnished,9,8030618
LB Nagar,2278,4,5,28,12,1,Unfurnished,9,10323068
Ameerpet,1764,3,4,6,12,2,Semi-Furnished,3,10420758
Kukatpally,1831,3,4,23,5,0,Unfurnished,7,12448046
Financial District,2105,3,4,25,5,2,Furnished,7,17657077
Secunderabad,866,2,2,27,10,1,Semi-Furnished,4,5957265
Banjara Hills,373,1,2,22,13,2,Furnished,5,4156320
Narsingi,870,2,2,3,5,1,Semi-Furnished,5,6660793
Kukatpally,642,1,1,19,7,1,Furnished,1,4660488
Jubilee Hills,1466,3,3,26,12,0,Unfurnished,9,13938701
Uppal,1187,2,2,15,13,0,Furnished,1,5714450
Miyapur,1881,3,3,24,1,1,Unfurnished,6,9872119
Hitech City,2272,4,4,12,4,0,Unfurnished,6,20340410
Secunderabad,1456,2,2,15,5,1,Semi-Furnished,10,10227246
Banjara Hills,2320,4,4,9,17,1,Semi-Furnished,4,21791829
Banjara Hills,2184,4,5,22,8,1,Semi-Furnished,3,18244717
Ameerpet,1530,3,4,19,9,1,Furnished,2,8131967
Kukatpally,802,2,2,19,1,1,Unfurnished,10,4983365
Kondapur,705,2,2,19,22,1,Unfurnished,6,4858843
Shamshabad,1318,2,2,4,10,0,Unfurnished,8,5847056
LB Nagar,1522,2,2,16,10,2,Semi-Furnished,5,7079074
Narsingi,671,1,1,19,9,2,Unfurnished,10,4154241
Begumpet,1874,3,4,1,16,1,Semi-Furnished,4,13100513
Secunderabad,1520,3,4,18,3,1,Semi-Furnished,9,11360022
Secunderabad,1745,3,3,14,6,1,Semi-Furnished,3,11568032
Kondapur,2215,4,5,21,7,0,Furnished,4,15062228
Kokapet,639,1,1,12,24,1,Furnished,8,4845245
Jubilee Hills,1215,2,3,6,9,2,Semi-Furnished,3,11917479
Kondapur,992,2,2,22,11,1,Furnished,7,7137128
Jubilee Hills,2595,5,5,5,4,1,Furnished,10,22822514
Uppal,1469,3,4,20,3,1,Unfurnished,3,6080015
Miyapur,1259,2,2,6,17,1,Semi-Furnished,4,6705446
Shamshabad,2281,4,5,1,6,2,Semi-Furnished,1,10985871
LB Nagar,974,2,2,16,1,0,Unfurnished,10,4244684
Gachibowli,1700,3,4,17,4,0,Unfurnished,4,15757355
Manikonda,1736,3,3,22,11,1,Furnished,6,10472212
Madhapur,886,2,2,0,20,1,Furnished,5,8777767
Dilsukhnagar,2120,4,5,26,10,1,Furnished,5,11440306
Kokapet,1028,2,2,3,5,0,Unfurnished,7,6755653
Narsingi,1654,3,4,15,24,2,Semi-Furnished,10,11411498
Financial District,2328,4,4,24,1,1,Unfurnished,3,18837956
Secunderabad,1281,2,3,8,15,1,Unfurnished,8,8951874
Kondapur,2123,4,4,9,14,2,Unfurnished,1,13137455
Manikonda,1023,3,4,19,14,2,Semi-Furnished,10,7062623
Miyapur,300,1,1,18,7,0,Semi-Furnished,3,1656997
Dilsukhnagar,1183,2,2,29,20,0,Unfurnished,4,6340489
Gachibowli,1805,3,3,11,7,0,Furnished,5,17217766
Shamshabad,1629,3,4,11,8,1,Semi-Furnished,6,7459928
Begumpet,704,2,2,20,1,1,Semi-Furnished,10,5082646
Secunderabad,2217,4,5,16,23,1,Unfurnished,2,14877247
Narsingi,1773,3,3,20,16,1,Furnished,3,10931960
Banjara Hills,2706,5,6,22,13,2,Furnished,7,25722348
Kompally,1074,2,3,21,11,1,Semi-Furnished,9,6053474
Shamshabad,2233,4,4,7,24,2,Furnished,7,10034721
Kondapur,1604,3,3,13,3,1,Semi-Furnished,3,11135475
Begumpet,1200,2,3,24,23,1,Semi-Furnished,5,8757279
Dilsukhnagar,1959,3,3,26,20,0,Furnished,3,11486709
Shamshabad,1261,2,3,12,7,1,Unfurnished,4,5519344
Banjara Hills,428,1,1,29,8,1,Furnished,2,3952777
Dilsukhnagar,1220,2,3,10,8,1,Furnished,9,6852441
Gachibowli,1637,3,3,7,4,1,Furnished,7,13652936
Secunderabad,1525,3,3,0,24,2,Semi-Furnished,8,12038925
Kompally,1406,3,3,2,22,1,Semi-Furnished,4,8606764
Uppal,1159,2,2,0,16,1,Unfurnished,4,5135699
Kompally,1666,3,3,10,21,1,Unfurnished,9,9447842
Shamshabad,2184,4,4,4,17,1,Unfurnished,6,10034705
Miyapur,1070,2,3,8,9,1,Furnished,5,5918888
Gachibowli,1829,3,3,3,14,0,Semi-Furnished,7,16419333
LB Nagar,1053,2,2,29,0,0,Unfurnished,2,4302632
Ameerpet,2460,4,5,22,21,1,Furnished,9,16519422
Kukatpally,1573,3,4,19,1,2,Semi-Furnished,8,12627145
Madhapur,1859,3,3,27,20,2,Unfurnished,3,14759375
Ameerpet,1300,2,3,5,17,1,Semi-Furnished,9,7508004
Madhapur,2418,4,4,25,18,1,Furnished,8,20700865
Kokapet,1002,2,2,28,3,1,Furnished,2,6335547
Narsingi,1159,2,3,0,15,2,Semi-Furnished,9,8692179
Kondapur,2170,4,5,25,6,1,Unfurnished,9,15385655
Financial District,756,2,2,25,6,1,Unfurnished,8,6006281
Madhapur,1442,2,3,19,6,2,Furnished,10,13524664
Secunderabad,1802,3,3,0,6,0,Semi-Furnished,9,11426372
Gachibowli,1973,3,3,4,5,0,Semi-Furnished,10,18425433
Banjara Hills,2156,4,5,21,10,1,Semi-Furnished,4,19389912
Kompally,2618,5,6,0,21,1,Semi-Furnished,6,16563491
Kondapur,658,2,2,4,3,1,Unfurnished,10,5016620
Manikonda,1401,2,3,0,14,1,Unfurnished,1,7924510
Kondapur,746,2,2,14,23,2,Semi-Furnished,6,5936825
Banjara Hills,1196,3,3,1,8,1,Semi-Furnished,4,10995866
Narsingi,1823,3,3,17,3,1,Unfurnished,10,11818539
Kompally,2215,4,4,1,0,1,Furnished,1,13282854
Kompally,1239,2,2,26,11,1,Unfurnished,9,6414042
LB Nagar,1357,2,2,22,16,1,Unfurnished,9,5976703
Madhapur,1615,3,4,16,2,1,Semi-Furnished,10,14831002
Hitech City,1847,3,3,23,0,1,Semi-Furnished,2,16851335
Narsingi,1659,3,3,15,15,1,Semi-Furnished,8,12633847
Ameerpet,1505,3,3,29,19,1,Semi-Furnished,3,8135027
LB Nagar,1704,3,4,17,10,1,Furnished,1,8510482
Kukatpally,1682,3,3,27,20,0,Unfurnished,10,12383621
Madhapur,1444,3,3,21,21,1,Semi-Furnished,4,13113686
Gachibowli,2458,5,5,22,12,1,Furnished,5,24341222
Shamshabad,1471,3,3,4,3,1,Semi-Furnished,3,7259836
Hitech City,1454,3,4,20,11,2,Semi-Furnished,3,13551705
Banjara Hills,496,1,2,17,0,1,Semi-Furnished,5,4885187
Secunderabad,1119,2,3,8,2,1,Semi-Furnished,7,7666035
Gachibowli,1621,3,3,13,16,2,Semi-Furnished,1,13014044
LB Nagar,2303,4,5,0,4,0,Furnished,9,11678876
Manikonda,1619,3,3,17,19,1,Semi-Furnished,7,10001962
LB Nagar,1751,3,4,2,6,1,Semi-Furnished,7,8368295
Kokapet,1322,2,3,28,7,1,Semi-Furnished,5,8978902
Banjara Hills,1242,2,3,6,21,2,Semi-Furnished,8,10861848
Shamshabad,677,2,2,9,11,1,Furnished,3,3716644
Secunderabad,1458,3,4,8,12,1,Unfurnished,5,11029884
Financial District,2093,4,4,20,6,1,Furnished,5,15191296
Secunderabad,1012,2,3,8,9,2,Semi-Furnished,9,8384984
Madhapur,2233,4,5,23,3,2,Semi-Furnished,5,18537993
LB Nagar,1731,3,3,23,13,1,Unfurnished,1,6756499
Dilsukhnagar,1289,2,3,1,18,2,Semi-Furnished,1,7435990
Begumpet,1561,2,2,0,15,1,Semi-Furnished,9,11203392
Secunderabad,1387,3,3,28,0,0,Unfurnished,7,8910255
Kondapur,1450,3,4,20,0,2,Furnished,7,10924796
Manikonda,2284,4,5,20,15,2,Semi-Furnished,4,14072870
Manikonda,973,2,3,2,2,1,Semi-Furnished,8,6230016
Dilsukhnagar,1137,2,2,12,16,1,Furnished,5,6554845
Uppal,2389,4,5,12,15,0,Semi-Furnished,5,10979134
Narsingi,1822,3,3,23,17,1,Unfurnished,8,11217990
Banjara Hills,2144,4,5,26,6,1,Furnished,5,21304727
Narsingi,1040,2,3,12,12,1,Semi-Furnished,8,8221450
Ameerpet,2757,5,5,4,12,1,Furnished,3,16890173
Kukatpally,1648,3,3,17,10,1,Semi-Furnished,8,12834633
Banjara Hills,1447,3,4,10,18,2,Furnished,1,13639588
Shamshabad,1662,3,3,7,3,2,Semi-Furnished,6,7673436
Hitech City,1595,3,3,22,13,1,Unfurnished,5,13281201
Madhapur,2206,4,4,18,0,0,Semi-Furnished,2,19430732
Miyapur,1034,2,2,27,7,1,Furnished,9,6738141
Jubilee Hills,982,2,3,15,11,1,Semi-Furnished,8,9129842
Financial District,1756,3,3,1,9,1,Unfurnished,9,15067934
Hitech City,1264,2,2,21,24,2,Furnished,4,10923889
Manikonda,1956,3,3,24,6,1,Unfurnished,7,10153941
Financial District,1473,2,3,0,15,2,Unfurnished,10,13513523
Financial District,1795,3,4,5,7,1,Semi-Furnished,8,16107229
Kukatpally,1915,3,3,27,0,1,Semi-Furnished,4,14612739
Secunderabad,452,1,2,29,0,0,Unfurnished,9,2689814
Begumpet,1163,2,2,29,17,1,Unfurnished,9,7587754
Kukatpally,803,2,2,4,1,2,Furnished,2,6196505
Narsingi,1877,3,4,11,2,1,Semi-Furnished,4,13298841
Manikonda,1167,2,2,14,0,1,Furnished,1,6671311
